date,crime_type,state,Primary Category,Secondary Category
07-2010,THEFT OF IDENTITY,California,,OTHER
08-2010,BURGLARY,California,Property Crimes,BURGLARY
08-2010,BURGLARY,California,Property Crimes,BURGLARY
08-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
08-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
08-2010,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,California,Violent Crimes,ASSAULT
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
08-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
08-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
08-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,BRANDISH WEAPON,California,,OTHER
08-2010,ROBBERY,California,Violent Crimes,ROBBERY
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,ROBBERY,California,Violent Crimes,ROBBERY
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
